# mass(eV); Xcoeff(Hz):	 Ca+:2S1/2-2D5/2	Ca+:2D3/2-2D5/2	Ca+:S1/2->P1/2	Ca+:D3/2->P1/2
1000	-7360121295199140	38649643814423	        -7017511435936800	381259503076767
2000	-4739261387887350	29807536139307.4	-4524008551938250	245060372088409
3000	-2564037130467220	21602762401242.6	-2445510305892100	140129586976360
4000	-983154938936223	15053659300998.2	-930172958670412	68035639566809.6
5000	110743965084307	        9962701194300.51	121137388061227	        20356124171220.9
6000	850165461214895	        5998744281623.46	833279538374982	        -10887178558289.6
7000	1342468327834210	2900041090906.42	1308364525824550	-31203760918757.6
8000	1665270060121440	473568276194.14	        1620442442733260	-44354049111986.4
9000	1871766449165100	-1418927605561.96	1820589496239180	-52595880531485.3
10000	1998710950626370	-2886766323039.32	1943916759556190	-57680957393216.3
20000	2306521141788650	-7531218303263.89	2242968046916700	-71084313175207.7
30000	1849037338427280	-7084929795936.15	1802278184532560	-53844083690651.6
40000	1494076332436530	-6003290103771.02	1459662619718100	-40417002822204.1
50000	1237043941858760	-5011140240159.83	1211287599158710	-30767482940213.9
60000	1049891476847290	-4195503683342.4	1029999427485510	-24087553045123.5
70000	910373424765096	        -3533651322580.91	894691074126253	-19216001961424.2
80000	803256445436826	        -2999831559007.49	790707118950775	-15549158045058.8
90000	718384978745578	        -2572427557516.18	708000872982513	-12956533320580.8
100000	649472249380889	        -2232269489391.07	640761981776956	-10942537093324.6
200000	317965751279177	        -846282168465.432	315204502247399	-3607531200243.5
300000	194164637473140	        -461594387218.212	191018700660115	-3607531200243.5
400000	131296884368512  	-294368581950.405	130407634748848	-1183618201614.59
500000	94785227757747.1	-205188739779.087	94129723083655.8	-860693413870.352
600000	71572518919115.1	-151646208852.278	71084905854258.9	-639259273708.521
700000	55855580642958.1	-116843346130.707	55532191829465.4	-440232159623.389
800000	44974623374849.4	-92870179278.5599	44672075446687.2	-395418107440.725
900000	36995254711569.6	-75642238736.4382	36747972162554.5	-322924787751.551
1000000	30708479401106.8	-62805127150.5739	30445723619790.9	-325560908466.457
