# mass(eV); Xcoeff(Hz):	 Ca+:2S1/2-2D5/2	Ca+:2D3/2-2D5/2
1000	-7360121295199140	38649643814423
2000	-4739261387887350	29807536139307.4
3000	-2564037130467220	21602762401242.6
4000	-983154938936223	15053659300998.2
5000	110743965084307	        9962701194300.51
6000	850165461214895	        5998744281623.46
7000	1342468327834210	2900041090906.42
8000	1665270060121440	473568276194.14
9000	1871766449165100	-1418927605561.96
10000	1998710950626370	-2886766323039.32
20000	2306521141788650	-7531218303263.89
30000	1849037338427280	-7084929795936.15
40000	1494076332436530	-6003290103771.02
50000	1237043941858760	-5011140240159.83
60000	1049891476847290	-4195503683342.4
70000	910373424765096	        -3533651322580.91
80000	803256445436826	        -2999831559007.49
90000	718384978745578	        -2572427557516.18
100000	649472249380889	        -2232269489391.07
200000	317965751279177	        -846282168465.432
300000	194164637473140	        -461594387218.212
400000	131296884368512  	-294368581950.405
500000	94785227757747.1	-205188739779.087
600000	71572518919115.1	-151646208852.278
700000	55855580642958.1	-116843346130.707
800000	44974623374849.4	-92870179278.5599
900000	36995254711569.6	-75642238736.4382
1000000	30708479401106.8	-62805127150.5739
