#mass(eV); Xcoeff(eV):	 Ca+:2S1/2-2D5/2	Ca+:2D3/2-2D5/2
1000	-736012129519914	3864964381442.3
2000	-473926138788735	2980753613930.74
3000	-256403713046722	2160276240124.26
4000	-98315493893622.3	1505365930099.82
5000	11074396508430.7	996270119430.051
6000	85016546121489.5	599874428162.346
7000	134246832783421	290004109090.642
8000	166527006012144	47356827619.414
9000	187176644916510	-141892760556.196
10000	199871095062637	-288676632303.932
20000	230652114178865	-753121830326.389
30000	184903733842728	-708492979593.615
40000	149407633243653	-600329010377.102
50000	123704394185876	-501114024015.983
60000	104989147684729	-419550368334.24
70000	91037342476509.6	-353365132258.091
80000	80325644543682.6	-299983155900.749
90000	71838497874557.8	-257242755751.618
100000	64947224938088.9	-223226948939.107
200000	31796575127917.7	-84628216846.5432
300000	19416463747314	-46159438721.8212
400000	13129688436851.2	-29436858195.0405
500000	9478522775774.71	-20518873977.9087
600000	7157251891911.51	-15164620885.2278
700000	5585558064295.81	-11684334613.0708
800000	4497462337484.94	-9287017927.85599
900000	3699525471156.96	-7564223873.64382
1000000	3070847940110.68	-6280512715.05739
