# mphi[eV]; Yb X-coefficients [Hz]:	Yb+:S1/2->D5/2;	Yb+:S1/2->D3/2;	Yb+:S1/2->F7/2;	Yb:1S0->2D2;	Yb:1S0->3P0;
1.0000000000	-31494109683875.4	-35489689992814.9	257140942666846	-4136342396162.57	31273094027707.8
1.0232929923	-31495003474880.3	-35490554649907.2	257190454562480	-4134887695266.13	31276758581601.3
1.0471285481	-31495875075230.8	-35491398503225.4	257238500270571	-4133475195678.32	31280321136552
1.0715193052	-31496724603560.5	-35492221646094.8	257285094005656	-4132104508284.91	31283782533972
1.0964781961	-31497552178502.6	-35493024171840.9	257330249982276	-4130775243972.22	31287143615272.6
1.1220184543	-31498357918690.8	-35493806173789	257373982414971	-4129487013625.88	31290405221865.9
1.1481536215	-31499141942758.4	-35494567745264.4	257416305518280	-4128239428132.16	31293568195163.4
1.1748975549	-31499904369338.8	-35495308979592.4	257457233506743	-4127032098376.79	31296633376577
1.2022644346	-31500645317065.6	-35496029970098.5	257496780594898	-4125864635245.78	31299601607518.4
1.2302687708	-31501364904572.2	-35496730810107.8	257534960997286	-4124736649625.24	31302473729399.4
1.2589254118	-31502063250491.9	-35497411592946	257571788928447	-4123647752400.93	31305250583631.7
1.2882495517	-31502740473458.3	-35498072411938.2	257607278602919	-4122597554458.92	31307933011627.1
1.3182567386	-31503396692104.8	-35498713360409.9	257641444235242	-4121585666685.12	31310521854797.3
1.3489628826	-31504032025064.7	-35499334531686.2	257674300039956	-4120611699965.57	31313017954554.1
1.3803842646	-31504646590971.7	-35499936019092.8	257705860231601	-4119675265186.28	31315422152309.2
1.4125375446	-31505240508459.1	-35500517915954.8	257736139024715	-4118775973233.07	31317735289474.4
1.4454397707	-31505813896160.4	-35501080315597.8	257765150633839	-4117913434991.88	31319958207461.5
1.4791083882	-31506366872708.9	-35501623311346.8	257792909273512	-4117087261348.91	31322091747682.1
1.5135612484	-31506899556738.2	-35502146996527.3	257819429158274	-4116297063189.95	31324136751548
1.5488166189	-31507412066881.6	-35502651464464.7	257844724502663	-4115542451400.99	31326094060471.2
