#binding energies in eV; uncertainties
6.25416	0.000012
12.179185	0.000025
25.053	0.025
43.61	0.04
65.6	0.3
99	5
117	6
135	7
163	8
182	9
209	10
244	12
279	14
301	15
324	16
360	19
396	20
431	21
469	24
505	25
540	30
580	30
610	30
651	6
882	4
924	4
971	4
1019	4
1065	4
1114	4
1175	4
1224	4
1275	4
1324	5
1516	5
1564	5
1618	5
1668	4
1789	4
1845	4
1978	4
2036.4	1
3443	4
3555	4
3677	4
3805	4
3929	4
4051	4
4238	4
4364	4
4502	4
4630	4
4988	4
5101	5
5224	5
5339	5
5731	5
5860	6
6111	6
6236	7
13784	10
14093	12
14435	15
14752	19
16191	24
16570	30
17050	40
17365.44	0.15
70123.04	0.14
71574.63	0.1
